date,QQQ,QQQ_EMA_FAST,QQQ_EMA_SLOW,momentum_126,momentum_exit,RSI,OBV,OBV_EMA,VIX,VIX3M,trend_bear,momentum_bear,rsi_bear,obv_bear,long_bear_entry,risk_off,severe_risk,daily_qqq_return
2007-05-30,40.4478683472,,,,,,0.0,,12.83,,False,False,False,False,False,False,False,0.0
2007-05-31,40.6364250183,,,,,,109457700.0,,13.05,,False,False,False,False,False,False,False,0.004661720847226158
2007-06-01,40.662147522,,,,,,234547500.0,,12.78,,False,False,False,False,False,False,False,0.0006329913049292202
2007-06-04,40.7821350098,,,,,,299330200.0,,13.29,,False,False,False,False,False,False,False,0.0029508399116175976
2007-06-05,40.7821350098,,,,,,299330200.0,,13.63,,False,False,False,False,False,False,False,0.0
2007-06-06,40.3450050354,,,,,,116163700.0,,14.87,,False,False,False,False,False,False,False,-0.010718663314094767
2007-06-07,39.7193260193,,,,,,-105209600.0,,17.06,,False,False,False,False,False,False,False,-0.015508215095053512
2007-06-08,40.2078666687,,,,,,72378200.0,,14.84,,False,False,False,False,False,False,False,0.01229982223672721
2007-06-11,40.1307411194,,,,,,-24722200.0,,14.71,,False,False,False,False,False,False,False,-0.0019181706389819198
2007-06-12,39.8907318115,,,,,,-178689900.0,,16.67,,False,False,False,False,False,False,False,-0.00598068466231183
2007-06-13,40.3278579712,,,,,,-30704600.0,,14.73,,False,False,False,False,False,False,False,0.01095808825382294
2007-06-14,40.5935592651,,,,,,70827300.0,,13.64,,False,False,False,False,False,False,False,0.006588529797187714
2007-06-15,40.9684333801,,,,,,171205700.0,,13.94,,False,False,False,False,False,False,False,0.009234817586500688
2007-06-18,40.9770050049,,,,,,246918900.0,,13.42,,False,False,False,False,False,False,False,0.00020922510559473473
2007-06-19,40.9684333801,,,,,73.75191724255703,137297600.0,,12.85,,False,False,False,False,False,False,False,-0.00020918133960678986
2007-06-20,40.5824317932,,,,,64.84047474723693,-24591900.0,,14.67,,False,False,False,False,False,False,False,-0.009421926958219862
2007-06-21,40.9512863159,,,,,68.72885862282307,118589400.0,,14.21,,False,False,False,False,False,False,False,0.009089019716206348
2007-06-22,40.5652580261,,,,,61.1116033101359,-34739300.0,,15.75,,False,False,False,False,False,False,False,-0.009426524159025562
2007-06-25,40.3937034607,,,,,58.033346653152456,-171341900.0,,16.65,,False,False,False,False,False,False,False,-0.004229100805660191
2007-06-26,40.1621017456,,,,,54.073402833587444,-299553800.0,4483567.624573629,18.89,,False,False,False,True,False,False,False,-0.00573360933159639
2007-06-27,40.7797241211,,,,,61.598694413728694,-158357600.0,-11025115.006338146,15.53,,False,False,False,True,False,False,False,0.015378238405256539
2007-06-28,40.7625617981,,,,0.007780223377872764,61.29812554890101,-274903900.0,-36156427.86287737,15.54,,False,False,False,True,False,False,False,-0.00042085431841165644
2007-06-29,40.8311843872,,,,0.004792728907926591,62.09455946105197,-150109200.0,-47009072.82831762,16.23,,False,False,False,True,False,False,False,0.001683470961415301
2007-07-02,41.2000465393,,,,0.013228495052037603,66.12936627912418,-69246100.0,-49126884.93990642,15.4,,False,False,False,True,False,False,False,0.009033834252812678
2007-07-03,41.4402275085,,,,0.0161367838771036,68.48192293550164,-34442800.0,-47728400.65991533,14.92,,False,False,False,False,False,False,False,0.005829628589639979
2007-07-05,41.7404518127,,,,0.023498446137499185,71.17686777441551,39145700.0,-39454676.78754244,15.48,,False,False,False,False,False,False,False,0.007244755211308185
2007-07-06,41.9120140076,,,,0.0388402224965656,72.61772240430656,104950000.0,-25701850.426824108,14.72,,False,False,False,False,False,False,False,0.004110214131601619
2007-07-09,41.9377441406,,,,0.05585236064232446,72.83703385382687,171718800.0,-6899883.7195075285,15.16,,False,False,False,False,False,False,False,0.0006139082935823215
2007-07-10,41.5860481262,,,,0.0342764133410951,65.15542139005925,67335700.0,170171.87282652128,17.57,,False,False,False,False,False,False,False,-0.008386145263820421
2007-07-11,41.8691253662,,,,0.043318020009344815,68.07397195286035,166973300.0,16056184.075414471,16.64,,False,False,False,False,False,False,False,0.006807024296729525
2007-07-12,42.512462616,,,,0.06572280540975672,73.50533534579375,274640400.0,40683252.25870833,15.54,,False,False,False,False,False,False,False,0.015365433220139613
2007-07-13,42.8041191101,,,,0.061403239930779785,75.53716974193463,348872600.0,70034618.71025991,15.15,,False,False,False,False,False,False,False,0.00686049398583255
2007-07-16,42.7612228394,,,,0.05339919961548256,74.63064503311128,271073100.0,89181140.73785421,15.59,,False,False,False,False,False,False,False,-0.0010021528673365143
2007-07-17,43.0871696472,,,,0.051716311615887856,76.89924056890499,395906800.0,118393108.28663,15.63,,False,False,False,False,False,False,False,0.0076224856577225
2007-07-18,43.0357284546,,,,0.05024094487759201,75.7479955271695,250990900.0,131021469.40218905,16.0,,False,False,False,False,False,False,False,-0.0011938865565133128
2007-07-19,43.1643943787,,,,0.053601292932686784,76.6880676918582,367554700.0,153548443.7448377,15.23,,False,False,False,False,False,False,False,0.0029897466296111563
2007-07-20,42.9327964783,,,,0.057915816801639375,71.32846967115248,203833400.0,158337487.19771028,16.95,,False,False,False,False,False,False,False,-0.00536548476431975
2007-07-23,42.9499473572,,,,0.04880581835408648,71.48738941329489,311297500.0,172905107.46459502,16.81,,False,False,False,False,False,False,False,0.0003994819882899847
2007-07-24,42.3151741028,,,,0.04313829522726298,58.551850520047054,135801300.0,169371411.51558596,18.55,,False,False,False,True,False,False,False,-0.01477937211705549
2007-07-25,42.3752250671,,,,0.04905521001132929,59.30211261143356,306060000.0,182389372.3236254,18.1,,False,False,False,False,False,False,False,0.0014191354655450628
2007-07-26,42.0149459839,,,,0.04613414532029547,53.09275252443369,-12462000.0,163832098.76899442,20.74,,False,False,False,True,False,False,False,-0.008502116098014989
2007-07-27,41.1657447815,,,,0.009465994896229901,41.94447688902533,-258849600.0,123576698.88623305,24.17,,False,False,True,True,False,False,False,-0.020211883712177303
2007-07-30,41.6460876465,,,,0.02167493428838374,48.528141964252754,-92332400.0,103013927.56373465,20.87,,False,False,True,True,False,False,False,0.011668509037054076
2007-07-31,40.7711448669,,,,-0.0014704329840311559,39.697365967270976,-352556900.0,59626229.700521834,23.52,,False,False,True,True,False,False,False,-0.021009002983105596
2007-08-01,41.0885391235,,,,-0.0027064876175232344,43.699757457089845,-51403000.0,49052017.348091185,23.67,,False,False,True,True,False,False,False,0.007784776651137637
2007-08-02,41.4659767151,,,,0.0006213577518296987,48.11032995338667,125966900.0,56377244.267320596,21.22,,False,False,True,False,False,False,False,0.009185957925287536
2007-08-03,40.6767807007,,,,-0.025482980317821258,40.89608550916102,-40081500.0,47190697.19424244,25.16,,False,False,True,True,False,False,False,-0.019032374899120796
2007-08-06,41.1485671997,,,,-0.01821546461025625,46.09952402455942,150787600.0,57057068.89002887,22.94,,False,False,True,False,False,False,False,0.011598422757971072
2007-08-07,41.4402275085,,,,-0.011863218737565684,49.08384990950034,317897300.0,81898995.66240707,21.56,,False,False,True,False,False,False,False,0.007087982125465908
2007-08-08,41.8948440552,41.41485564155663,,,0.007425469428181897,53.41362333089979,482728500.0,120073234.17074925,21.45,,False,False,False,False,False,False,False,0.010970416284677542
2007-08-09,40.9255409241,41.39566682910735,,,-0.02253652145458329,44.687947396522915,240310300.0,131524383.29734457,26.48,,False,False,True,False,False,False,False,-0.023136573317300346
2007-08-10,40.556678772,41.36276533667177,,,-0.046004952986749004,41.88391229988923,-6696100.0,118360527.74521652,28.3,,False,False,True,True,False,False,False,-0.00901300615144185
2007-08-13,40.8311843872,41.34191902492778,,,-0.04609216972378882,44.666525247294295,110239000.0,117587048.91233876,26.57,,False,False,True,True,False,False,False,0.006768444150548003
2007-08-14,40.1363792419,41.29464295500513,,,-0.06138373561855859,39.5099707091321,-43290800.0,102265349.01592556,27.68,,False,False,True,True,False,False,False,-0.01701653174473694
2007-08-15,39.37292099,41.21928130931866,,,-0.08620312467986324,34.761219646884,-258144900.0,67940563.39536123,30.67,,False,False,True,True,False,False,True,-0.019021602504268764
2007-08-16,38.9869155884,41.131737555557145,,,-0.09408026799107727,32.626061174814865,-620613600.0,2363976.4053268284,30.83,,False,False,True,True,False,False,True,-0.009803829431350386
2007-08-17,39.7246360779,41.07655710545294,,,-0.0796897153385614,40.18758914640558,-397367000.0,-35705640.395180486,29.99,,False,False,True,True,False,False,False,0.01892225836196948
2007-08-20,39.9133491516,41.03094110726263,,,-0.07032962151035627,41.981412214670556,-252651900.0,-56367188.92897282,26.33,,False,False,True,True,False,False,False,0.004750529956522032
2007-08-21,40.3336830139,41.003597652620954,,,-0.060914261932417,45.8751113118727,-137624700.0,-64105999.50716588,25.25,,False,False,True,True,False,False,False,0.010531159906012277
2007-08-22,40.8826446533,40.998854397745625,,,-0.03385380019989592,50.5433419230162,-21810600.0,-60077866.22076913,22.89,,False,False,False,False,False,False,False,0.013610501158815902
2007-08-23,40.7711448669,40.98992461222227,,,-0.03785419894903164,49.607464358869336,-140474000.0,-67734640.86641017,22.62,,False,False,True,True,False,False,False,-0.0027273134442635794
2007-08-24,41.3458747864,41.00388344258218,,,-0.01592459973068583,54.30429517422956,-52284800.0,-66263227.450561576,20.72,,False,False,False,False,False,False,False,0.014096487144921843
2007-08-27,41.0713806152,41.00653039052798,,,-0.0022922982883188947,51.820071388042365,-124775200.0,-71835796.26479381,22.72,,False,False,False,True,False,False,False,-0.006638973600585074
2007-08-28,40.0934829712,40.97072460937786,,,-0.037280925125039555,44.08306018164255,-230800000.0,-86975244.23957536,26.3,,False,False,True,True,False,False,False,-0.02380970956788564
2007-08-29,41.2429389954,40.98139968333952,,,0.011571765522901067,52.971404534740984,-117599000.0,-89891792.40723485,23.81,,False,False,False,True,False,False,False,0.02866939809209601
2007-08-30,41.4573745728,41.00006536527914,,,0.008976601679397511,54.42678424119242,21331000.0,-79299145.51130772,25.06,,False,False,False,False,False,False,False,0.0051993282395299545
2007-08-31,41.9205856323,41.036164199279966,,,0.010963419970147603,57.487333764385205,116018200.0,-60697493.55784985,23.38,,False,False,False,False,False,False,False,0.011173188468232453
2007-09-04,42.6154174805,41.09809570050428,,,0.047659543021963735,61.64800306634095,214499100.0,-34488294.171387956,22.78,,False,False,False,False,False,False,False,0.016574955662466362
2007-09-05,42.1865234375,41.14077914117078,,,0.02522460217782685,57.882303708698004,100449800.0,-21637047.107446246,24.58,,False,False,False,False,False,False,False,-0.010064292886400872
2007-09-06,42.1521987915,41.180442656869964,,,0.017180679880532956,57.57917101764576,1227200.0,-19459499.763879936,23.99,,False,False,False,False,False,False,False,-0.000813640072779509
2007-09-07,41.3715896606,41.187938617800555,,,-0.012489708612128059,51.03349477736702,-151210800.0,-32007242.64351042,26.23,,False,False,False,True,False,False,False,-0.018518823531867734
2007-09-10,41.3458747864,41.19413219303975,,,0.010270697779646953,50.828505138459256,-276410200.0,-55283714.77269991,27.38,,False,False,False,True,False,False,False,-0.0006215587655914456
2007-09-11,41.9720573425,41.22463906164604,,,0.03489877902618521,55.51444643979486,-173345700.0,-66527713.36577611,25.27,,False,False,False,True,False,False,False,0.015144982645426408
